Am Römerturm 3	50.940881	6.946774
Amalienfelsen	48.07652222	9.178725
Amazonen-Werke	52.25403889	7.93873889
Amesdorf	51.78	11.59666667
Ampleben	52.17916667	10.7475
Amrichshausen	49.28222222	9.74083333
Amt Balve	51.333333	7.866667
Amt Gehlenbeck	52.309974	8.649061
Amt Halle (Westf.)	52.059032	8.356703
Amt Niedersfeld	51.26138889	8.52916667
Amt Oelde	51.8247	8.1457
Amtsgericht Nürtingen	48.624	9.34252
Amtsgericht Jever	53.573	7.903
Amtsgericht Neunkirchen	49.34847	7.18315
Andechs	47.974424	11.182237
Andenhausen	50.66861111	10.07583333
Anderten (Heemsen)	52.74138889	9.32277778
Andreasbrunnen (Kamenz)	51.269716	14.095385
Andreaskirche (Erfurt)	50.98037222	11.02271389
Andreaskapelle (Passau)	48.57440658	13.46582651
Anlauter	49.07166667	11.09305556
Annaberger Floßgraben	50.486131	13.021589
Annenriede	52.88583333	8.63333333
Anstel	51.06244667	6.71470667
Anstois	50.55396169	6.53780936
Antdorf	47.75	11.3
Antikenmuseum der Universität Leipzig	51.34127611	12.378255
Antoniterkapelle (Mainz)	50.00166667	8.26833333
Antoniuskapelle (Lendersdorf)	50.77034	6.47517
Antoniusstraße (Aachen)	50.77662222	6.08687778
Antrifttalsperre	50.77361111	9.20638889
Apelstein	51.27687639	12.39848611
Apfelstetten	48.376714	9.489102
Apolda	51.02277778	11.51277778
Apollinarisstadion	50.54361111	7.15138889
Appenweier	48.53972222	7.98
Appetshofen	48.81411944	10.62750556
Apricke	51.39277778	7.81111111
Apulische Bildervasen für eine Totenfeier (Antikensammlung Berlin)	52.51944444	13.39833333
Aquazoo – Löbbecke Museum	51.25638889	6.74972222
Arbachgraben	49.09525278	11.01283611
Arbeitsgericht Magdeburg	52.12678	11.63122
Archäologisches Hegau-Museum	47.7625	8.83388889
Architekten- und Ingenieur-Verein Hannover	52.3891	9.85449
Ardenner Cultur Boulevard	50.352424	6.383989
Arena Kreis Düren	50.79297	6.48831
Aretsried	48.309725	10.653622
Armacell	51.93291667	7.63638889
Armenruhe	50.96294722	10.31792222
Arneken-Galerie	52.154991	9.950438
Arnswalder Platz	52.53305556	13.43722222
Arrach	49.192714	12.995653
Artothek (München)	48.135533	11.573438
Arzberg (Sachsen)	51.52722222	13.12388889
Arzdorf	50.608333	7.091111
Asam-Schlössl	48.09523611	11.54241111
Asbeke-Kinzbachtal	52.112673	8.627872
Asberg (Westerwald)	50.6254	7.2962
Aschau (Lachte)	52.76940278	10.27060278
Ascheloch	50.39583333	10.26777778
Asphe	50.95888889	8.60666667
Athenaeum Stade	53.59027778	9.47222222
Atlas Tower	52.50527778	13.33333333
Atlashofen	47.60638889	9.62111111
Aubach (Pilsensee)	48.0349	11.1968
Aubstadt	50.33333333	10.43333333
Auel (Hennef)	50.769722	7.364167
Auelsbach	50.83009722	7.28015833
Auelsbach	50.84001389	7.20036389
Auerberg	50.75777778	7.07111111
Auf dem Acker	51.747	10.4626
Auf dem Acker	51.7338	10.4224
Auf dem Acker	51.7274	10.4153
Auf dem Hochstock	50.861666	7.342221
Augraben (Mailinger Bach)	48.78454444	11.44838611
Augsburger Puppenkiste	48.36035	10.90325
Augsburg-Firnhaberau	48.40555556	10.89444444
Auguste-Viktoria-Gymnasium Trier	49.75638889	6.64638889
Augustinerinnenkloster Küstelberg	51.222711	8.604764
Auguststraße (Berlin)	52.52694444	13.39666667
Aumatalsperre	50.7675	12.02777778
Ausfahrt Musikverlag	51.89763	8.35867
Ausländische Militärbasen in Deutschland	49.47805556	10.38527778
Ausstellungszentrum für die Archäologie des Emslandes	52.68791667	7.30486111
Autobahnkreuz	50.59613972	8.48781
Autobahnkreuz	50.95255974	7.03725
Autobahndreieck	50.80527778	9.53055556
Autobahndreieck	49.55597222	8.55666667
Autobahn-Behelfsflugplatz	52.17444444	7.76972222
Autobahn-Behelfsflugplatz	52.71194444	8.17277778
Autobahndreieck Karlsruhe	48.973569	8.438172
Autovision	52.42425	10.74353611
Auweiher	47.68778	9.69917
Avendorf (Fehmarn)	54.41666667	11.13694444
Averbeck	52.115888	7.128067
Bärenkasten Oderberg	52.86194444	14.03972222
Böblingen	48.69972222	9.03388889
Böhl (Lindlar)	51.01472222	7.38972222
Bönnigheim	49.041	9.095
Bösbach	49.035844	11.05305
Bübbenser Tief	53.663097	7.916191
Bübbenser Tief	53.656785	7.968484
Bügellohe	49.51868611	12.61898056
Bürstadt	49.63333333	8.45
Bürgerhäuser am Molkenmarkt	52.51647222	13.40811111
Bürogebäude Ulmenstraße 37–39	50.115735	8.66523
Büschdorf (Perl)	49.471944	6.474167
Büschhof	50.89527778	7.57638889
Büttenberg	51.2971379	7.3235338
BP Gelsenkirchen	51.53736692	7.04764367
Bachwiesengraben	49.11500833	10.89338611
Bad Bocklet	50.26666667	10.08333333
Bad Dürkheimer Gondelbahn	49.469379	8.159344
Bad Godesberger Tunnel	50.68027778	7.16319444
Bad Kreuznacher Neustadt	49.84651944	7.85578889
Bad Lauterberg im Harz	51.63166667	10.47055556
Bad Ledde	52.25669444	7.83513889
Bad Sebastiansweiler	48.40222222	9.01472222
Bad Segeberg	53.93581	10.309027
Bad Tennstedt	51.15388889	10.83722222
Baden-Württemberg	47.6975	7.51194444
Baden.fm	47.988859	7.795529
Baden (Achim)	53.00333333	9.085
Badingen (Altmark)	52.60888889	11.64138889
Badorf	50.80694444	6.89111111
Bahnhöfe in Nürnberg	49.43643056	10.99416667
Bahnhof Frankfurt (Main) Höchst	50.1025	8.5425
Bahnhof Iserlohn Ost	51.37027778	7.71111111
Bahnhof Berlin-Schöneberg	52.47944444	13.35166667
Bahnhof Plaue	50.77833333	10.90861111
Bahnhof Sömmerda	51.16555556	11.12805556
Bahnhof Dortmund-Kurl	51.55694444	7.585
Bahnhof Recklinghausen Süd	51.56294444	7.19563889
Bahnhof Engers	50.42607306	7.54680306
Bahnhof Berlin-Wilhelmshagen	52.43858111	13.72218111
Bahnhof Augsburg Ring	48.3574	10.9184
Bahnhof Stuttgart-Weilimdorf	48.82194444	9.09416667
Bahnhof Oerlinghausen	51.978801	8.665466
Bahnhof Erzhausen	49.9515	8.6511
Bahnhof Baunatal-Guntershausen	51.2299	9.4672
Bahnstrecke Altenbeken–Kreiensen	51.771611	8.98555
Bahnstrecke Geseke–Büren	51.645148	8.510392
Bahnstrecke Nienburg–Rahden	52.645296	9.21783
Bahnstromversorgung in Norwegen	59.58083333	10.20722222
Bahnstromversorgung in Norwegen	59.6225	9.69222222
Bahnstromumrichter Saalach-Kraftwerk	47.718204	12.863123
Bahre (Fluss)	50.83302	13.9077
Baiereck	48.755473	9.516777
Baierfeld	48.79777778	10.84583333
Baiern (Landkreis Ebersberg)	47.95	11.9
Baiernrain	47.90305556	11.60916667
Baitenhausen	47.71527778	9.29861111
Balzholz	48.56666667	9.39
Bantikow	52.93805556	12.45277778
Baptistischer Friedhof Westerstede-Felde	53.28275	7.92480556
Barbaraviertel	51.213486	6.692786
Barbarino-Eck (Heilbronn)	49.141872	9.220369
Barchel	53.47027778	9.03777778
Bard Holding	53.3386	7.2142
Bargloyer Steinkiste	52.888867	8.391978
Barnbruch	52.45643	10.65262
Barnten	52.2	9.81527778
